event_name,city_name,date,time,latitude,longitude
Between thus table,Port Rebeccaberg,2024-03-01,18:00:00,38.33354302168567,157.95792863097148
Chair west nature,Williamsberg,2024-04-16,11:00:00,70.36082635845705,-35.87010613282811
Program technology middle true,Hoffmanfurt,2024-03-05,7:30:00,-77.19655522627876,-163.49416987502906
Prove by recognize,Robertstad,2024-04-01,17:00:00,-66.50384758072923,-26.497284372267387
Federal,Timport,2024-04-20,10:30:00,27.570533107975866,-121.06728741559968
Explain plant,Laneshire,2024-03-11,19:00:00,-5.532590732784996,117.30696016350964
Figure,Shawton,2024-04-23,1:30:00,11.768006763559171,-60.54742509348142
Support least recent,Carlville,2024-03-22,4:30:00,-61.574351410151,178.53125293837627
Girl require important,New Matthew,2024-04-07,9:30:00,37.53516089801147,-110.0174350734525
Evening finish,Hartville,2024-03-27,16:00:00,1.2977866343232165,5.411080837989772
Shake first,North Kristen,2024-03-11,22:00:00,68.91159940443862,140.43620979011175
Make agree,North Amy,2024-03-25,21:00:00,46.91373740032813,-122.18266499717028
Peace seem west,Curtisville,2024-04-10,1:30:00,-26.60714956345467,-122.2140638408614
Pay hit,New Scott,2024-03-06,21:30:00,42.83635155178956,-113.92106840422932
By parent during,Lake Jeffreyhaven,2024-04-28,6:30:00,44.23209848538522,6.1925916871318805
Page might,Sherriview,2024-03-09,14:00:00,26.0253799438657,-18.517166618606268
Per,New Joyce,2024-04-06,20:00:00,-27.320712795966813,-129.16416873818264
Message no,Lake Lisa,2024-04-26,20:30:00,80.38186351178848,53.67522352272189
Father make develop,Lake Hunterfurt,2024-03-14,22:00:00,-59.83036039073591,6.220779025756997
Fact forward,South Joshua,2024-04-27,13:00:00,26.928305114766985,131.8534407792593
Him address side choice,Willistown,2024-04-24,0:00:00,-7.599549000230255,171.77228702964572
Wind like open last,Ronnietown,2024-04-20,13:00:00,-74.4390942760271,-60.18269796905318
Dream TV article,East Shannonborough,2024-04-26,13:00:00,-43.55898512450626,140.51089284575949
Believe assume,Brendabury,2024-04-04,3:30:00,16.6754087403924,-141.9506909626939
Way quickly health,Monicamouth,2024-04-15,17:30:00,-21.516147412197256,-52.13315275151776
Computer identify,Thomasshire,2024-04-21,3:00:00,-32.43349714246512,-3.7313339892413353
Not she center person,Kyleview,2024-04-23,8:30:00,45.399630866536654,39.69358121380549
Key for,Birdbury,2024-03-03,6:30:00,-89.78322014634473,145.06448771036526
Medical clear,Hornton,2024-03-08,15:00:00,58.212982838141386,116.71063051862347
Position than want,East Brandonville,2024-04-04,5:00:00,38.53548941553825,-44.99086261360111
Right newspaper behavior,Lake Johnbury,2024-04-06,15:30:00,10.7450351659418,-166.26885311494829
Listen international,Lake Matthew,2024-03-27,15:00:00,-13.393526304884546,-98.28874385326132
Summer up sister,Lake Brian,2024-03-23,0:00:00,75.8932612905763,-52.67902086350587
Blood piece rest,East Tinafort,2024-03-13,19:30:00,23.970284780267463,-9.902254286403178
Catch attorney dream thousand,Claireville,2024-04-01,3:00:00,88.50374860922872,-53.081050511993325
Unit step remember,Scottfort,2024-03-21,15:30:00,-35.56394607771012,2.3384596252188885
You subject win compare,New James,2024-04-23,18:30:00,2.848906525395549,166.32255841839418
These degree,New Veronica,2024-04-29,6:30:00,-20.663436839084184,4.692882830205093
Candidate,East Carolyn,2024-04-10,23:30:00,-88.46972190765634,148.3763748707919
National share,Robertchester,2024-04-03,6:30:00,-76.28684947042373,72.56555561978192
Style follow,Penningtontown,2024-03-01,9:00:00,69.63745651267624,78.01419737862824
Carry right threat,Jasminebury,2024-03-23,10:30:00,-8.789789840857267,-93.91557016520916
After note nearly,West Douglas,2024-03-24,9:30:00,78.80251267569193,-62.8310054114709
Size man financial,Brettberg,2024-04-29,7:30:00,-74.69316561537633,-155.72245157208658
Yard forget,North Davidfurt,2024-04-26,21:30:00,-33.86924549165381,-75.88235224785844
Few magazine against,Shawnville,2024-04-18,6:00:00,-80.5534273498258,125.66980911897582
Give,South Michelleberg,2024-04-14,12:00:00,8.1315088803686,74.33919867788015
Suggest guess dinner,Port Richard,2024-04-01,19:00:00,-72.04127390824345,-76.69556138904198
Player,Lewischester,2024-03-19,3:30:00,1.2837563284758176,116.19056603588348
Whole source,Vaughnfurt,2024-04-05,12:30:00,-5.139136907910441,11.26348676977625
Say me notice,East Bethtown,2024-04-15,15:00:00,-1.5591225140058214,24.13216962571209
Throw eye deep,Lake Anitaville,2024-04-25,22:00:00,64.2351654512832,-103.08587672925806
Assume by,East Brandyfort,2024-03-18,10:00:00,-71.63468795911811,111.7686651307668
Political check five,Lake Timothymouth,2024-03-17,2:30:00,-64.8930422016796,19.960236849531924
Reveal sport,Mcclainburgh,2024-03-29,5:00:00,-7.573577081608207,-123.79681147516573
Probably theory,East Sonyaville,2024-03-04,19:30:00,-19.04107982146256,-68.06040623176686
School tax source,New Kelly,2024-03-22,9:30:00,-85.04193680468688,178.37228272993934
Responsibility yet,Port Emilychester,2024-03-14,15:30:00,55.280612680019374,-33.60797003417903
Individual establish approach technology,Lake Kimberly,2024-03-10,8:30:00,24.09408142488105,39.45194638752352
Station culture affect,Michaelland,2024-03-05,5:00:00,82.37674102800892,107.42853316915648
Organization within movement,Stevenburgh,2024-04-08,13:30:00,46.09207791061348,-12.49968202790211
Sometimes nice management,South Sarah,2024-04-19,10:00:00,79.44506788904397,-121.63611322412028
Suggest agree,East Davidfurt,2024-04-12,1:30:00,37.82212332177417,155.54833940561474
Glass although,Kathleenfort,2024-03-17,4:00:00,29.993719944439174,156.81578555606148
Of ask open,New Andrew,2024-03-16,4:00:00,-70.44535019087864,46.47301990019807
Student bit reflect,Garciaport,2024-03-08,3:00:00,-83.50906733773449,82.91179904965821
We explain,North Gabrielleton,2024-04-08,11:30:00,87.11569582492044,-41.54649846543128
Direction,Joshuaville,2024-03-12,21:30:00,-1.181877495308413,98.8910844121873
Million oil interest people,West Amyberg,2024-03-14,23:00:00,-75.09422174076046,-149.31504046052805
Spend business TV,West Alexisstad,2024-03-27,1:00:00,66.17035312943412,41.73886480035952
Future deal,South Lisaberg,2024-04-17,1:00:00,10.776664585988769,-91.90008020879986
Play fact,Davidsonfurt,2024-04-07,18:00:00,-75.55150364608512,171.12035069483028
Sport almost away,New Aliciaville,2024-04-24,8:00:00,-71.53705677506441,-60.313579233632936
Husband pretty ago,Meghanside,2024-04-10,20:30:00,53.627979873427705,168.43438359561765
Return,New Joeton,2024-03-01,0:30:00,-67.7194355946054,110.8888257602856
Some laugh pull,Craigburgh,2024-03-08,2:30:00,-49.43622737175245,-55.919116616035495
Court,Lake Bettyville,2024-03-01,0:30:00,38.89224466332331,-11.009068082719892
South leave always,Gregorymouth,2024-04-02,10:30:00,79.71873941728833,99.41702652323325
Perhaps lead determine,Lake Andrew,2024-04-11,17:00:00,-43.890193286204905,114.1272691087026
May,New Brittany,2024-03-19,10:30:00,-37.994396085761935,7.879804885333471
Discover environmental left,Jennifertown,2024-03-20,20:00:00,-66.86865112136846,121.72898359616444
Similar large energy,South Richardbury,2024-04-18,17:30:00,-41.67372514369895,-93.19286553897682
Middle on,Rodneyshire,2024-04-13,7:30:00,72.31672124712497,-125.78451311132292
Toward rock,Kyleport,2024-03-31,11:30:00,3.22584399979651,108.35524563588
Thousand by,Schmidtfort,2024-04-07,5:30:00,-8.417670702521889,12.348243570399603
Pass glass,Mendozaville,2024-04-19,21:00:00,54.046175977204285,-62.13618591480818
Be stay,Wiseberg,2024-04-18,13:30:00,31.20907496216753,69.21929601740638
Woman success good,Sherrytown,2024-04-29,18:30:00,-30.586715907272897,-57.91680821676543
Executive time hope,West Sheilachester,2024-04-25,5:30:00,-27.84287944169875,-172.53390338587863
Try fast suddenly,Elizabethberg,2024-03-29,7:30:00,8.248454787971795,120.05259971186145
Resource specific job,Hudsonside,2024-03-03,12:30:00,36.411251632103856,-144.88098976156644
Minute compare member,Davisshire,2024-04-13,9:30:00,-52.329810774452646,67.34057655022883
Radio size,West Darrenfurt,2024-04-01,14:00:00,-40.93659131241984,155.9738177780941
Experience probably true,Jennifermouth,2024-03-13,7:30:00,32.22542253076658,-153.44765878018035
Same,New Judyside,2024-03-13,7:30:00,-28.107495451995035,-15.969605786959905
As full,South Brittany,2024-03-06,14:30:00,33.62214034160766,-170.8902671179809
Little push,Port James,2024-03-09,1:30:00,-2.2833921785713613,-149.45619192586406
Message close,Meaganmouth,2024-04-26,15:00:00,-32.95232233781205,62.65170948995163
Price would,Summerchester,2024-03-02,23:00:00,42.19361130506749,-94.81555287676626
Explain event near,New Rodneytown,2024-04-02,3:00:00,24.123930749833548,-17.175216041709575
Knowledge customer series,South Michaelton,2024-03-30,11:00:00,79.7063652926388,165.836758442759
Director from,North Kylemouth,2024-03-29,13:30:00,13.03792460929452,-46.15799204573898
Reduce stop later,Kevinmouth,2024-04-26,14:30:00,14.547722283736434,145.94035079061638
General summer,Susanborough,2024-04-24,2:00:00,36.160941929349605,-166.74396329218675
Human hear fast,Ryanstad,2024-03-28,11:30:00,5.460944761339334,27.059233904143696
Take bill travel nearly,Melissaborough,2024-03-22,10:00:00,-35.085227322205256,-159.28408566668807
Inside work,Carmenside,2024-04-13,2:00:00,84.69182111585374,16.176908796381042
Than probably,Lake Nancy,2024-04-24,6:30:00,25.58200209117078,39.21231559608575
Thank some indicate,North Mary,2024-04-26,14:00:00,-45.68766671024344,160.30351191581053
Both doctor,South Sandra,2024-03-05,2:30:00,-14.700244321184684,93.24122563342894
Economy commercial hand drop,South Sherryfort,2024-03-27,17:30:00,33.36590131533282,161.83092440847588
Tough group,Ewingtown,2024-04-05,21:30:00,-53.97306971206459,-135.4168244255818
Teacher on rule,North Laurentown,2024-04-24,2:30:00,89.86225559338695,104.30911809139668
There truth,Kimberlyside,2024-03-02,21:30:00,89.64600598348633,9.52189461391356
Song number,Andersonborough,2024-03-29,1:30:00,-53.63148679548931,138.9751017654106
Line develop,Michaelberg,2024-03-22,8:00:00,-12.271429635130971,129.42595681521982
Behind try possible,Mcgeehaven,2024-04-28,16:30:00,18.352646865275844,-165.88759479009056
Tell in,South Cameronstad,2024-04-14,11:30:00,-61.65202698011976,-127.76620809210353
Able stay,North Vincentton,2024-04-24,15:30:00,-4.75924652916315,-141.3906646949557
Fire whether none,Cookfort,2024-04-21,12:30:00,-41.752184254147885,-164.73104667153777
Hear let speak,New Rachelview,2024-03-31,15:00:00,73.12845348436846,-174.31446825605855
Morning evening,Simpsonmouth,2024-04-08,12:30:00,41.63678724336734,-11.23210546571002
Network still camera,New Amandastad,2024-03-22,19:30:00,-13.465066855206317,-30.845329891314805
Success source,Jameshaven,2024-04-26,7:00:00,-59.39081286112921,-36.45382781168036
Be until,East Julieport,2024-03-29,11:00:00,6.695909139896315,138.16910193038916
Mind able magazine,Lake Katherine,2024-04-05,23:00:00,-46.45151252095807,179.08006924557657
Real gas but,Cooperberg,2024-04-26,19:00:00,-80.19055701272717,69.1126559957172
Build successful democratic article,South Misty,2024-03-20,14:30:00,3.839877473012436,27.200265946469187
Without though,West Mary,2024-03-31,18:00:00,-55.63578373408634,-115.01183072159606
The spend cultural,Mathismouth,2024-03-31,16:30:00,-14.841802425507211,-47.40506892022762
Under difficult rate,Terrenceberg,2024-03-27,10:30:00,38.19257047723772,-150.43923483810312
Hear,West Brendanport,2024-04-22,3:30:00,84.6644005321051,151.874647952227
Center network,Lake Sharonshire,2024-04-26,18:00:00,23.90941724659305,52.71203108457368
Bring new,Perezmouth,2024-04-19,22:30:00,89.00913543291693,-127.46085637541432
Approach someone book,Harrisside,2024-04-22,15:30:00,48.69255803398616,-149.6061779265118
Stuff TV,New Aaron,2024-03-13,16:30:00,-44.96926030859333,125.46938930533032
Hospital campaign tell,West Erika,2024-03-27,4:30:00,67.92908051905292,-16.201940923225436
Wrong oil,Fernandezland,2024-03-06,21:00:00,84.32723689679807,-7.419388401222278
Understand price,Port Zachary,2024-04-17,4:00:00,49.037827914522296,123.39560746590293
Involve describe,Port Jessica,2024-03-19,13:30:00,8.621594893501182,154.8151513669315
Ground already,Kimview,2024-03-24,4:30:00,43.62785448275668,-36.51854733413657
Professor per,Jeffreyville,2024-04-01,7:00:00,-20.88150720808848,-113.86681422948388
Air quickly home,Lawrenceview,2024-03-16,13:00:00,-73.22990593520132,-69.5044027144064
If responsibility affect threat,Jesusberg,2024-04-23,16:00:00,-26.415941306250133,-121.14344928062238
Billion many edge,Port Markton,2024-03-27,16:00:00,-65.39035800428339,-26.972752679317807
Democrat seat nor,South Mark,2024-03-18,9:30:00,-75.6500901944614,-139.28581251503724
Parent recognize,East Teresa,2024-03-19,1:00:00,-88.28790043751182,-162.65537632976856
Occur surface start,Meyerton,2024-04-14,6:30:00,6.737795017317751,-41.65755708082958
Exactly approach operation represent,North Jenniferstad,2024-04-17,3:00:00,48.91539957871456,169.66799590421573
Under describe,North Williamview,2024-04-15,11:30:00,11.639308349189449,-170.5010395985662
Even continue,Fullerview,2024-03-09,21:00:00,87.72581059007064,15.92932944063
Forget music for,Amandamouth,2024-04-27,16:30:00,-39.743651770617866,-24.39254497793428
Cut tend nation,Wattsview,2024-03-03,18:00:00,-9.066199078333256,-163.51647188948522
Camera,Kelleyborough,2024-03-22,23:30:00,-6.17330132253808,93.96025794296172
Physical his,Carlosfort,2024-04-23,3:00:00,59.70892668056115,128.0198018522496
Respond,Lake Kristina,2024-03-23,3:30:00,-56.978567566199374,143.2761425702971
Hospital,North Samanthaville,2024-04-24,19:30:00,45.71094300365283,107.39951399270018
Stop bit,East Markmouth,2024-04-17,23:00:00,82.11377144868871,-174.16220140375913
Phone city,Riveraberg,2024-03-16,7:30:00,-6.82438215971564,117.45809473161349
May analysis range like,Reidshire,2024-04-21,20:00:00,-61.89942770508755,29.13495190054948
Create success,New Susanmouth,2024-03-16,4:30:00,-33.81901258045919,-69.26618933325697
National discuss door,Port Latasha,2024-03-01,19:30:00,-63.82813603641635,86.54328466723882
Whatever create important,Lindseytown,2024-03-06,7:30:00,-55.833304896922535,-153.67335445508377
Resource case,Kristenchester,2024-04-03,5:00:00,-50.02856608590972,24.407544340308647
Than sort work,Howardton,2024-04-10,20:00:00,-59.37119391348553,21.486786683683818
Establish perform,North Lydia,2024-04-22,5:30:00,58.86980001863793,-163.34895361338874
Condition character,East Jasmine,2024-04-22,1:00:00,-45.50464394282421,-112.07180533546934
Green option,South Andrew,2024-03-27,4:30:00,-87.77987647279534,-48.194594628618034
Word impact,West Jacobland,2024-03-10,9:00:00,-20.34449981884279,130.09556334802062
Off father,Lake Kirsten,2024-04-08,4:30:00,-14.931716741413112,-48.42093733730511
Character wall catch,Jessicaport,2024-04-07,1:30:00,-70.60315568494136,10.678717770565925
Their,North Ericfort,2024-03-03,5:30:00,-84.00851728485908,-85.09481203860108
Decide begin,Dunlapfort,2024-03-04,7:00:00,65.21065742686599,-51.11126115473115
Structure support choice,Fryland,2024-03-15,23:30:00,25.51699680040727,-173.22570039222776
Beat under economy treat,Port Michael,2024-03-13,11:00:00,-84.68960393104732,-152.49575391613098
Look imagine against,Rayville,2024-03-26,18:30:00,-69.06369012679289,16.18700148202535
Mention happy site,South Tammyside,2024-04-22,22:00:00,12.046185461732604,33.72618580458732
Over light of,South Natasha,2024-03-11,22:30:00,-26.896154963488986,-96.23530488114244
Since similar nearly,Smithmouth,2024-04-17,13:30:00,-3.920357344084763,113.58093483361488
Nor particularly practice,Lake Perryville,2024-04-10,12:30:00,-24.60845297625933,-113.73006073308258
Act federal,Johnshire,2024-04-19,10:00:00,-3.2469682924075727,58.96189446976027
Down model manager several,South Bryanland,2024-04-06,16:30:00,-57.64270843159739,4.221372520290657
Fire ball technology,Murphymouth,2024-04-05,3:30:00,75.5884006508683,-113.08758184946618
Weight perform loss,Bridgetmouth,2024-04-10,12:00:00,80.22126401526265,172.34825687893095
Effect conference,Lopezmouth,2024-04-15,2:30:00,40.62383297393421,46.04888000530033
Book me summer,Summerschester,2024-04-02,15:30:00,10.587270381843028,-6.530979087432826
Religious father future,New Mark,2024-04-22,22:00:00,-63.28586030889027,163.34799825053113
Organization party notice,New Greg,2024-04-10,13:00:00,-74.63377030930675,-40.37482833482608
Crime arm,Alexanderbury,2024-03-31,20:30:00,-8.637912074565207,71.08606552040774
Performance maybe conference,East Ryan,2024-04-17,4:30:00,-72.78074826802654,-162.33926825966054
Often hot,Lucasshire,2024-03-05,20:30:00,78.79589805743203,76.73251004459627
Plant PM,Russellmouth,2024-04-08,17:00:00,21.254107663623003,-168.02331711826147
Officer year structure,Greenburgh,2024-04-28,17:00:00,41.52642745945846,138.74799725950623
Carry somebody class,Matthewstad,2024-04-14,23:30:00,66.55497533867336,-79.81420222702634
South send,Thompsonborough,2024-03-30,4:00:00,-42.20725910707039,24.74998517085399
Safe at,South Jesseport,2024-04-17,5:30:00,15.37673887377514,160.64732227355853
Party development available,Port Alexander,2024-03-15,23:30:00,-49.96912692112439,5.613567049171223
Run mission budget,South Brittany,2024-03-13,8:30:00,-1.7069649406989242,1.1129716652453112
Tv number,Patrickville,2024-04-26,19:30:00,-44.6717491859044,8.744567508367027
Also during,Walkerborough,2024-03-08,20:00:00,-81.69076572061553,88.33743021040294